cluster	gene
7	ENSG00000144583
7	ENSG00000144810
7	ENSG00000147100
7	ENSG00000153012
7	ENSG00000157654
7	ENSG00000162545
7	ENSG00000166289
7	ENSG00000172927
7	ENSG00000174600
7	ENSG00000174640
7	ENSG00000175065
7	ENSG00000176177
7	ENSG00000180861
7	ENSG00000197182
7	ENSG00000198542
7	ENSG00000204632
7	ENSG00000204941
7	ENSG00000205426
7	ENSG00000213397
8	ENSG00000023445
8	ENSG00000109321
8	ENSG00000125538
8	ENSG00000127329
8	ENSG00000138061
8	ENSG00000148346
8	ENSG00000153930
8	ENSG00000171236
8	ENSG00000171711
8	ENSG00000196805
8	ENSG00000198807
8	ENSG00000205592
8	ENSG00000244094
9	ENSG00000075340
9	ENSG00000080644
9	ENSG00000103742
9	ENSG00000105877
9	ENSG00000106034
9	ENSG00000122133
9	ENSG00000125378
9	ENSG00000125851
9	ENSG00000126856
9	ENSG00000128564
9	ENSG00000128591
9	ENSG00000130822
9	ENSG00000133110
9	ENSG00000134013
9	ENSG00000141506
9	ENSG00000141750
9	ENSG00000143847
9	ENSG00000144837
9	ENSG00000145861
9	ENSG00000162373
9	ENSG00000162878
9	ENSG00000167244
9	ENSG00000170893
9	ENSG00000171388
9	ENSG00000174697
9	ENSG00000184148
9	ENSG00000204610
9	ENSG00000205922
10	ENSG00000043355
10	ENSG00000059915
10	ENSG00000073067
10	ENSG00000082074
10	ENSG00000085741
10	ENSG00000095370
10	ENSG00000100385
10	ENSG00000101180
10	ENSG00000103184
10	ENSG00000127129
10	ENSG00000130270
10	ENSG00000138135
10	ENSG00000140506
10	ENSG00000141376
10	ENSG00000143786
10	ENSG00000145703
10	ENSG00000147434
10	ENSG00000158113
10	ENSG00000165084
10	ENSG00000171840
10	ENSG00000172955
10	ENSG00000174807
10	ENSG00000176402
10	ENSG00000176971
10	ENSG00000183023
10	ENSG00000183166
10	ENSG00000187808
10	ENSG00000198929
10	ENSG00000204033
10	ENSG00000204060
10	ENSG00000219607
10	ENSG00000237452
10	ENSG00000241644
10	ENSG00000242515
10	ENSG00000248801
10	ENSG00000255690
10	ENSG00000262304
10	ENSG00000269242
10	ENSG00000273259
11	ENSG00000110944
11	ENSG00000133321
11	ENSG00000141968
11	ENSG00000159556
11	ENSG00000163606
11	ENSG00000163633
11	ENSG00000170421
11	ENSG00000181143
11	ENSG00000196754
12	ENSG00000010671
12	ENSG00000066032
12	ENSG00000081248
12	ENSG00000100652
12	ENSG00000108622
12	ENSG00000109610
12	ENSG00000111058
12	ENSG00000114248
12	ENSG00000115590
12	ENSG00000117560
12	ENSG00000124920
12	ENSG00000127325
12	ENSG00000128242
12	ENSG00000128268
12	ENSG00000130720
12	ENSG00000133661
12	ENSG00000138722
12	ENSG00000146857
12	ENSG00000148516
12	ENSG00000157765
12	ENSG00000159899
12	ENSG00000160870
12	ENSG00000164626
12	ENSG00000165124
12	ENSG00000167210
12	ENSG00000169213
12	ENSG00000170049
12	ENSG00000170396
12	ENSG00000170486
12	ENSG00000170965
12	ENSG00000172155
12	ENSG00000172551
12	ENSG00000174156
12	ENSG00000175294
12	ENSG00000175920
12	ENSG00000177791
12	ENSG00000179776
12	ENSG00000182557
12	ENSG00000186094
12	ENSG00000187180
12	ENSG00000188100
12	ENSG00000188730
12	ENSG00000205089
12	ENSG00000205867
12	ENSG00000214946
12	ENSG00000221878
12	ENSG00000228727
12	ENSG00000234224
12	ENSG00000240386
12	ENSG00000256671
13	ENSG00000187987
13	ENSG00000249624
14	ENSG00000053438
14	ENSG00000077616
14	ENSG00000095970
14	ENSG00000100867
14	ENSG00000107242
14	ENSG00000109674
14	ENSG00000110375
14	ENSG00000110492
14	ENSG00000112796
14	ENSG00000116852
14	ENSG00000117318
14	ENSG00000120820
14	ENSG00000125508
14	ENSG00000133962
14	ENSG00000138685
14	ENSG00000142185
14	ENSG00000146530
14	ENSG00000164400
14	ENSG00000167614
14	ENSG00000171115
14	ENSG00000171817
14	ENSG00000175820
14	ENSG00000179240
14	ENSG00000184507
14	ENSG00000184515
14	ENSG00000196684
14	ENSG00000197134
14	ENSG00000197646
14	ENSG00000213648
14	ENSG00000233493
14	ENSG00000240563
14	ENSG00000254656
14	ENSG00000256188
14	ENSG00000278224
15	ENSG00000102053
15	ENSG00000105388
15	ENSG00000125531
15	ENSG00000125798
15	ENSG00000132297
15	ENSG00000133101
15	ENSG00000154133
15	ENSG00000156282
15	ENSG00000163209
15	ENSG00000175592
15	ENSG00000176659
15	ENSG00000177257
15	ENSG00000179242
15	ENSG00000244057
16	ENSG00000007350
16	ENSG00000015520
16	ENSG00000102076
16	ENSG00000102755
16	ENSG00000103375
16	ENSG00000105122
16	ENSG00000112320
16	ENSG00000121797
16	ENSG00000122176
16	ENSG00000123243
16	ENSG00000154080
16	ENSG00000159167
16	ENSG00000165917
16	ENSG00000166558
16	ENSG00000167157
16	ENSG00000170927
16	ENSG00000171885
16	ENSG00000172572
16	ENSG00000182256
16	ENSG00000183034
16	ENSG00000187821
16	ENSG00000215217
16	ENSG00000215595
16	ENSG00000216588
16	ENSG00000234965
16	ENSG00000239590
16	ENSG00000254402
16	ENSG00000267909
17	ENSG00000070669
17	ENSG00000111981
17	ENSG00000113739
17	ENSG00000115009
17	ENSG00000124391
17	ENSG00000136694
17	ENSG00000140465
17	ENSG00000163435
17	ENSG00000183153
18	ENSG00000160683
19	ENSG00000019186
19	ENSG00000100889
19	ENSG00000107731
19	ENSG00000109819
19	ENSG00000112303
19	ENSG00000128165
19	ENSG00000128965
19	ENSG00000133134
19	ENSG00000136828
19	ENSG00000140284
19	ENSG00000150051
19	ENSG00000152463
19	ENSG00000154645
19	ENSG00000158406
19	ENSG00000176046
19	ENSG00000176771
19	ENSG00000177669
19	ENSG00000181804
19	ENSG00000183091
19	ENSG00000197405
19	ENSG00000205863
19	ENSG00000221883
19	ENSG00000265972
